#Llibertatpresospolitics,85036
#Happiest5WordSentence,56561
#DiaDeMuertosMexico,28349
#OTDirecto2N,24661
Junqueras,189068
Jerome Powell,16896
Andrew Luck,12466
Donna Brazile,151837
Rick Perry,17843
Robert Mercer,34440
Sam Clovis,47878
Pizza Hut,34957
Terrassa,16787
#Merah,15047
#LatinaEqualPay,11796
#TaxReform,26752
#MINPUPPYDAY,163243
#ThursdayThoughts,74809
